,Quote Requested,Company,Company Size,Company Industry,Revenue,Title,Job Function,Management Level
1100,0,Company 1,61.0,Industrial Machinery & Equipment,12039.0,Mechanical Engineering,Hardware Engineering,Non-Manager
211,1,Company 2,50.0,Consumer Electronics,9868.0,Senior Mechanical Engineer,Hardware Engineering,Non-Manager
893,0,Company 3,49.0,Semiconductor & Semiconductor Equipment,9670.0,Mechanical Engineer,Hardware Engineering,Non-Manager
861,1,Company 4,40.0,Industrial Machinery & Equipment,7894.0,"Manager, Mechanical Engineering",Hardware Engineering,Manager
829,0,Company 5,21.0,Industrial Machinery & Equipment,4144.0,Sales Manufacturing Engineer,Operations,Non-Manager
594,1,Company 6,37.0,Electronics,10000.0,"Director, Mechanical Engineering",Infrastructure,Director
1767,0,Company 7,98.0,Music & Music Related Services,33000.0,"Vice President, Operations",Operations,VP-Level
1816,0,Company 8,174.0,Industrial Machinery & Equipment,108628.0,Senior Mechanical Engineer,Hardware Engineering,Non-Manager
1082,0,Company 9,59.0,Motor Vehicle Parts,11767.0,Manufacturing Engineer,Engineering,Non-Manager
215,1,Company 10,44.0,Medical Devices & Equipment,8800.0,Senior Mechanical Engineer,Hardware Engineering,Non-Manager
178,1,Company 11,44.0,Industrial Machinery & Equipment,8800.0,Mechanical Engineer,Hardware Engineering,Non-Manager
776,0,Company 12,50.0,"Miscellaneous Building Materials (Flooring, Cabinets, etc.)",50000.0,Manufacturing Engineer,Engineering,Non-Manager
48,0,Company 13,46.0,Industrial Machinery & Equipment,9078.0,Mechanical Drafter and Engineer,Engineering,Non-Manager
359,0,Company 14,68.0,Plumbing & HVAC Equipment,13420.0,Resident Mechanical Engineer,Hardware Engineering,Non-Manager
814,1,Company 15,20.0,Industrial Machinery & Equipment,3947.0,"Manager, Mechanical Engineering",Hardware Engineering,Manager
1198,0,Company 16,97.0,Industrial Machinery & Equipment,20000.0,Design Engineer,Engineering,Non-Manager
867,0,Company 17,77.0,Industrial Machinery & Equipment,15197.0,"Manager, Manufacturing Engineering",Operations,Manager
2817,0,Company 18,66.0,Electronics,13200.0,Purchaser and Tool Crib Manager,Contracts,Manager
1096,0,Company 19,4.0,Industrial Machinery & Equipment,789.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1769,0,Company 20,116.0,Industrial Machinery & Equipment,23200.0,"Manufacturing Director, Engineering",Operations,Director
2343,0,Company 21,30.0,Manufacturing,14100.0,Staff Design Engineer,Engineering,Non-Manager
331,1,Company 22,85.0,Plumbing & HVAC Equipment,16776.0,"Mechanical, Preferred Special Combustion Engineering Designer",Engineering,Non-Manager
207,0,Company 23,33.0,Aerospace & Defense,6471.0,Mechanical Engineer,Hardware Engineering,Non-Manager
621,0,Company 24,74.0,Medical Devices & Equipment,14800.0,"Director, Manufacturing Engineering",Infrastructure,Director
871,0,Company 25,33.0,Chemicals,7071.0,Mechanical Design Engineer,Engineering,Non-Manager
381,1,Company 26,54.0,Industrial Machinery & Equipment,10657.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2895,0,Company 27,25.0,Electronic Components,4934.0,Production Service Manager,Operations,Manager
479,0,Company 28,90.0,Building Materials,18000.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1044,0,Company 29,6.0,Manufacturing General,1184.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1296,0,Company 30,58.0,"Miscellaneous Building Materials (Flooring, Cabinets, etc.)",11447.0,Product Engineer,Engineering,Non-Manager
465,0,Company 31,76.0,Consumer Electronics,14999.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2207,0,Company 32,132.0,Household Goods,8480.0,"Project Manager, CAD Design",Technical,Manager
906,0,Company 33,2.0,Industrial Machinery & Equipment,394.0,Manufacturing Design Engineer,Engineering,Non-Manager
2987,0,Company 34,39.0,Manufacturing,7800.0,"Manager, Production",Operations,Manager
3088,0,Company 35,52.0,Industrial Machinery & Equipment,10400.0,"Director, Operations",Operations,Director
751,1,Company 36,8.0,Manufacturing General,1578.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1131,0,Company 37,65.0,Industrial Machinery & Equipment,12828.0,"Manager, Manufacturing Engineering",Operations,Manager
709,0,Company 38,42.0,Telecommunication Equipment,8289.0,"Engineering, Manufacturing",Infrastructure,Non-Manager
2139,0,Company 39,331.0,Telephony & Wireless,32525.0,Sourcing Material and and MKS,Sourcing,Non-Manager
2825,0,Company 40,48.0,Electronic Components,79300.0,Purchasing,Contracts,Non-Manager
2307,0,Company 41,181.0,Household Goods,35723.0,Manufacturing Engineer,Engineering,Non-Manager
1257,0,Company 42,76.0,Medical Devices & Equipment,18763.0,Senior Research Engineer,Engineering,Non-Manager
3013,0,Company 43,64.0,Industrial Machinery & Equipment,12631.0,"Manager, Production",Operations,Manager
2716,0,Company 44,21.0,Motor Vehicle Parts,4188.0,"Vice President, Development, Product Engineering",Engineering,VP-Level
1691,0,Company 45,74.0,Industrial Machinery & Equipment,14605.0,"Manager, Business Development & Product Introduction",Business Development,Manager
1046,1,Company 46,17.0,Chemicals,3642.0,Manufacturing Engineer,Engineering,Non-Manager
1170,0,Company 47,11.0,Manufacturing General,35830.0,Mechanical Engineer,Hardware Engineering,Non-Manager
986,0,Company 48,22.0,"Plastic, Packaging & Containers",5000.0,Manufacturing Engineer,Engineering,Non-Manager
1012,0,Company 49,47.0,Medical Devices & Equipment,9400.0,Manufacturing Engineer,Engineering,Non-Manager
837,0,Company 50,71.0,Manufacturing General,14012.0,"Manager, Manufacturing Engineering",Operations,Manager
283,0,Company 51,80.0,"Lumber, Wood Production & Timber Operations",16002.0,Mechanical Engineer,Hardware Engineering,Non-Manager
979,1,Company 52,29.0,Semiconductor & Semiconductor Equipment,6323.0,Manufacturing & Design Engineer,Engineering,Non-Manager
2329,0,Company 53,26.0,Test & Measurement Equipment,5131.0,"Manager, Engineering Design Services",Engineering,Manager
174,0,Company 54,41.0,Industrial Machinery & Equipment,9360.0,Mechanical Engineer,Hardware Engineering,Non-Manager
473,0,Company 55,72.0,Manufacturing General,14400.0,Mechanical Engineering Associate,Hardware Engineering,Non-Manager
2048,0,Company 56,67.0,Motor Vehicle Parts,13362.0,Purchasing Agent,Contracts,Non-Manager
2140,0,Company 57,331.0,Telephony & Wireless,32525.0,Product Manager & Fiber Delivery Systems Manufacturing Engineer,Operations,Non-Manager
334,0,Company 58,60.0,Electronics,11841.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1435,0,Company 59,108.0,Industrial Machinery & Equipment,21315.0,Productivity Engineer,Engineering,Non-Manager
1987,0,Company 60,49.0,"Miscellaneous Building Materials (Flooring, Cabinets, etc.)",9800.0,"Manager, Purchasing",Contracts,Manager
2697,0,Company 61,38.0,Petrochemicals,9600.0,Mechanical Engineer,Hardware Engineering,Non-Manager
247,0,Company 62,47.0,Industrial Machinery & Equipment,9276.0,Mechanical Engineer,Hardware Engineering,Non-Manager
29,0,Company 63,47.0,Industrial Machinery & Equipment,9276.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2030,0,Company 64,58.0,Electronic Components,11400.0,"Director, Quality & Manufacturing Engineering",Quality Management,Director
937,0,Company 65,43.0,Drug Manufacturing & Research,3378.0,Associate Manufacturing Engineer,Engineering,Non-Manager
1621,0,Company 66,6.0,Electronic Components,1184.0,"Manager, Purchasing",Contracts,Manager
1975,0,Company 67,39.0,"Plastic, Packaging & Containers",7800.0,"Director, Engineering",Engineering,Director
2464,1,Company 68,58.0,Consumer Electronics,11447.0,Purchasing Agent,Contracts,Non-Manager
1957,0,Company 69,17.0,Aerospace & Defense,3333.0,"Manager, Purchasing",Contracts,Manager
1879,0,Company 70,106.0,Pulp & Paper,21202.0,Project Engineer,Engineering,Non-Manager
2619,0,Company 71,35.0,Test & Measurement Equipment,7170.0,Purchasing Agent,Contracts,Non-Manager
1354,0,Company 72,130.0,Test & Measurement Equipment,25657.0,Senior Manufacturing Engineer,Engineering,Non-Manager
2700,0,Company 73,26.0,Medical Devices & Equipment,5200.0,Principal Design Engineer,Engineering,Non-Manager
80,0,Company 74,22.0,Manufacturing General,4342.0,Mechanical Engineer,Hardware Engineering,Non-Manager
3081,0,Company 75,27.0,Computer Storage Equipment,5328.0,"Vice President, Operations",Operations,VP-Level
899,0,Company 76,64.0,Plumbing & HVAC Equipment,12631.0,Manufacturing Engineer,Engineering,Non-Manager
2572,0,Company 77,176.0,Test & Measurement Equipment,11000.0,ISD Mechanical Project Engineer,Engineering,Non-Manager
1858,0,Company 78,69.0,Medical Devices & Equipment,13800.0,Manufacturing Engineering Technician,Technical,Non-Manager
2066,0,Company 79,27.0,Industrial Machinery & Equipment,62732.0,Sourcing Buyer,Sourcing,Non-Manager
152,1,Company 80,64.0,Test & Measurement Equipment,6700.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1919,0,Company 81,150.0,Industrial Machinery & Equipment,29604.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1342,0,Company 82,186.0,Plumbing & HVAC Equipment,99123.0,Design Hardware Development Principal Engineer,Hardware Engineering,Non-Manager
1009,0,Company 83,37.0,Motor Vehicle Parts,139759.0,Manufacturing Engineer,Engineering,Non-Manager
2043,0,Company 84,74.0,Motor Vehicles,14800.0,"Director, Supply Chain & Operations",Logistics,Director
2523,0,Company 85,166.0,Motor Vehicles,33200.0,Purchasing Coordinator,Contracts,Non-Manager
841,0,Company 86,38.0,Medical Devices & Equipment,7432.0,Manufacturing Quality Engineer,Quality Management,Non-Manager
1308,0,Company 87,100.0,"Miscellaneous Building Materials (Flooring, Cabinets, etc.)",19736.0,Manufacturing Engineer,Engineering,Non-Manager
474,1,Company 88,91.0,Test & Measurement Equipment,18200.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2302,0,Company 89,25.0,Test & Measurement Equipment,5000.0,"Manager, Mechanical Design",Technical,Manager
1364,0,Company 90,174.0,Industrial Machinery & Equipment,108628.0,"Director, Mechanical Engineering",Hardware Engineering,Director
1823,0,Company 91,45.0,Plumbing & HVAC Equipment,8881.0,Engineered Products Sales Engineer,Sales,Non-Manager
687,0,Company 92,22.0,Test & Measurement Equipment,4342.0,Mechanical Engineer,Engineering & Technical,Non-Manager
470,0,Company 93,71.0,Personal Computers & Peripherals,14200.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2057,0,Company 94,59.0,Motor Vehicles,43820.0,Sales Engineer & Project Manager,Sales,Manager
976,1,Company 95,14.0,Test & Measurement Equipment,3600.0,Lead Mechanical Engineer,Hardware Engineering,Non-Manager
435,0,Company 96,53.0,Industrial Machinery & Equipment,10460.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2765,0,Company 97,92.0,Electronics,97200.0,Project Engineer,Engineering,Non-Manager
2461,0,Company 98,120.0,Medical Devices & Equipment,24354.0,Senior Buyer,Contracts,Non-Manager
172,0,Company 99,29.0,Aerospace & Defense,5800.0,Mechanical Engineer,Hardware Engineering,Non-Manager
3173,0,Company 100,59.0,Motor Vehicle Parts,11767.0,"Manager, Supply Chain",Logistics,Manager
2001,0,Company 101,80.0,Manufacturing General,15789.0,"Director, Engineering",Engineering,Non-Manager
711,0,Company 102,17.0,Plumbing & HVAC Equipment,3355.0,Mechanical Sales Engineer,Sales Engineering,Non-Manager
881,0,Company 103,75.0,Industrial Machinery & Equipment,14802.0,Manufacturing Engineer,Engineering,Non-Manager
120,0,Company 104,58.0,Medical Devices & Equipment,9500.0,Principal Mechanical Engineer,Hardware Engineering,Non-Manager
2979,0,Company 105,45.0,Industrial Machinery & Equipment,10000.0,Inventory Control Purchasing Assistant,Contracts,Non-Manager
337,1,Company 106,51.0,Electronics,10065.0,Mechanical Design Engineer,Engineering,Non-Manager
1450,0,Company 107,32.0,Industrial Machinery & Equipment,75000.0,Electrical Senior Product Engineer,Engineering,Non-Manager
2448,0,Company 108,97.0,Medical Devices & Equipment,18972.0,"Director, Purchasing",Contracts,Director
1460,0,Company 109,160.0,Motor Vehicle Parts,16000.0,Mechanical Engineer,Hardware Engineering,Non-Manager
409,0,Company 110,90.0,Electronics,17762.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2202,0,Company 111,62.0,Medical Devices & Equipment,12400.0,"Supervisor, Supply Chain",Logistics,Manager
1030,0,Company 112,46.0,Plumbing & HVAC Equipment,13306.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2213,0,Company 113,30.0,Consumer Electronics,5920.0,Purchasing Agent,Contracts,Non-Manager
1122,0,Company 114,16.0,"Miscellaneous Building Materials (Flooring, Cabinets, etc.)",17580.0,Senior Mechanical Engineer,Hardware Engineering,Non-Manager
1034,0,Company 115,60.0,Semiconductor & Semiconductor Equipment,12000.0,Senior Manufacturing Engineer,Engineering,Non-Manager
2339,0,Company 116,160.0,Software Development & Design,30744.0,"Manager, Purchasing",Contracts,Manager
586,0,Company 117,59.0,"Batteries, Power Storage Equipment & Generators",11644.0,Manufacturing Engineer,Application Development,Non-Manager
1180,1,Company 118,44.0,Medical Devices & Equipment,8800.0,Mechanical Design Engineer,Engineering,Non-Manager
1960,1,Company 119,47.0,Software Development & Design,9400.0,Manufacturing Engineering Technician,Technical,Non-Manager
2376,0,Company 120,29.0,Consumer Electronics,5800.0,Purchasing Contact,Contracts,Non-Manager
1272,0,Company 121,180.0,Industrial Machinery & Equipment,35525.0,"Mechanical Manager, Engineering",Engineering,Manager
2257,1,Company 122,230.0,Test & Measurement Equipment,10000.0,Manufacturing Engineer,Engineering,Non-Manager
987,0,Company 123,75.0,Electronic Components,14802.0,Manufacturing Engineer,Engineering,Non-Manager
1459,0,Company 124,201.0,Industrial Machinery & Equipment,148258.0,Manufacturing Engineer,Engineering,Non-Manager
1327,0,Company 125,200.0,"Miscellaneous Building Materials (Flooring, Cabinets, etc.)",68080.0,Mechanical Engineer,Hardware Engineering,Non-Manager
819,0,Company 126,76.0,Medical Devices & Equipment,18763.0,Manufacturing & Sustaining Engineer,Engineering,Non-Manager
96,0,Company 127,31.0,"Architecture, Engineering & Design",5905.0,Mechanical Engineer,Hardware Engineering,Non-Manager
103,0,Company 128,30.0,Software Development & Design,5920.0,Senior Mechanical Engineer,Hardware Engineering,Non-Manager
3102,0,Company 129,69.0,Household Goods,13618.0,"Project Manager, Information Technology",Information Technology,Manager
962,0,Company 130,67.0,Motor Vehicle Parts,13362.0,"Vice President, Manufacturing Engineering",Operations,VP-Level
2930,1,Company 131,48.0,Test & Measurement Equipment,9473.0,Purchasing,Contracts,Non-Manager
573,0,Company 132,36.0,Electronics,9236.0,Senior Manufacturing Engineer,Application Development,Non-Manager
309,0,Company 133,56.0,Industrial Machinery & Equipment,11052.0,Mechanical Design Engineer,Engineering,Non-Manager
1102,1,Company 134,22.0,Textiles & Apparel,13400.0,"Director, Mechanical Engineering & Industrial Design",Hardware Engineering,Director
23,0,Company 135,43.0,Medical Devices & Equipment,8600.0,Mechanical Engineer,Hardware Engineering,Non-Manager
3125,0,Company 136,60.0,Industrial Machinery & Equipment,12000.0,"Vice President, Operations",Operations,VP-Level
1382,0,Company 137,225.0,Industrial Machinery & Equipment,44407.0,Manufacturing Engineer,Engineering,Non-Manager
2161,0,Company 138,43.0,Boats & Submarines,8600.0,HR Purchasing Coordinator,Human Resources Generalist,Non-Manager
123,0,Company 139,59.0,Industrial Machinery & Equipment,6790.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2545,0,Company 140,129.0,Test & Measurement Equipment,25800.0,"Senior Manager, Production",Operations,Manager
659,0,Company 141,8.0,Aerospace & Defense,13190.0,Manufacturing Engineer,Application Development,Non-Manager
1851,0,Company 142,94.0,Industrial Machinery & Equipment,18552.0,Senior Design Engineer,Engineering,Non-Manager
71,0,Company 143,20.0,Electronics,3947.0,Senior Mechanical Design Engineer,Engineering,Non-Manager
14,1,Company 144,38.0,Medical Devices & Equipment,3000.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2747,0,Company 145,46.0,"Plastic, Packaging & Containers",75739.0,Project Engineer,Engineering,Non-Manager
246,0,Company 146,20.0,"Electricity, Oil & Gas",2250.0,Mechanical Engineering and Graduate Degree,Hardware Engineering,Non-Manager
2864,0,Company 147,26.0,Industrial Machinery & Equipment,5200.0,"Manager, Roll-Form Production",Operations,Manager
1695,0,Company 148,42.0,"Plastic, Packaging & Containers",8401.0,Design Engineer,Engineering,Non-Manager
894,0,Company 149,6.0,Electronics,1184.0,Outside Manufacturer Engineering Sales Representative,Operations,Non-Manager
2786,0,Company 150,72.0,Industrial Machinery & Equipment,45000.0,"Director, Engineering",Engineering,Director
2398,0,Company 151,54.0,Consumer Electronics,10657.0,"Manager, Production",Operations,Manager
1420,0,Company 152,100.0,Manufacturing General,27150.0,Product Engineer,Engineering,Non-Manager
1835,0,Company 153,34.0,Semiconductor & Semiconductor Equipment,6710.0,"Director, Engineering",Engineering,Director
1989,0,Company 154,72.0,Industrial Machinery & Equipment,31100.0,"Manager, Production",Operations,Manager
807,0,Company 155,83.0,"Miscellaneous Building Materials (Flooring, Cabinets, etc.)",96000.0,Design Mechanical Engineer,Hardware Engineering,Non-Manager
803,0,Company 156,46.0,Industrial Machinery & Equipment,9200.0,Manufacturing Engineer,Engineering,Non-Manager